24.07.2026                                                           Dynamische Listenausgabe                                                                  1


	TCODE	PGMNA	DYPNO	MENUE	CINFO	ARBGB	TTEXT
	/ACCGO/SHD_UTILITY	/ACCGO/ASSIGNMENT_UTILITY	 1000		   80		Hilfsreport für Schatten/Zuordnung
	/ACCGO/SIT_COCKPIT	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		SIT Cockpit
	/ACCGO/SI_DISPLAY	/ACCGO/SAPLFEE_SI	 6000		   00		Separate Rechnungen anzeigen
	/ACCGO/SI_WC	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Work Center für separate Rechnung
	/ACCGO/SNAPSHOT_OVR	/ACCGO/CAK_SS_OVERRIDE_REPORT	 1000		   80		ÜberschreibBericht Kontrakt-Snapshot
	/ACCGO/SNIP	/ACCGO/SNIP_CALLOFF	 1000		   84		Mng aus Auftrag/Lieferung entfernen
	/ACCGO/SNIP_MASS	/ACCGO/SNIP_CALLOFF_MASS	 1000		   84		Mng aus Auftrag/Lieferung entfernen
	/ACCGO/SPTNUMRANGE		 0000		   02		NumKreis für Spot-Anforderung
	/ACCGO/SP_SETUPBGRFC	/ACCGO/SPOT_EOD_SETUP_BGRFC	 1000		   80		bgRFC für Spot-TA einrichten
	/ACCGO/SRRVBD		 0000		   02		Service Erlösabrenzung LF-Art
	/ACCGO/SS_COMP_UTL	/ACCGO/CAK_SS_COMPRESS_UTIL	 1000		   84		Snapshot-Komprimierungshilfsprogramm
	/ACCGO/STLC		 0000		   02		Anpassung Kontraktabrechnung
	/ACCGO/STLINVT		 0000		   02		Rechnungsbedingung konfigurieren
	/ACCGO/STLNUMRANGE		 0000		   02		Nummernkreis f. AbrechnBelNr. bearb.
	/ACCGO/STLR		 0000		   02		Gründe pflegen
	/ACCGO/STLSET		 0000		   02		Allgem. AbrechnEinstellungen pflegen
	/ACCGO/STLTAB		 0000		   02		Einstell. f. AbrechnRegKarte pflegen
	/ACCGO/STL_APQ	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Abrechnungsgenehmigungs-Queue
	/ACCGO/STL_CORR_UTIL	/ACCGO/CAS_STL_CORR_UTILITY	 1000		   80		Hilfsprogr. für Abrechnungskorrektur
	/ACCGO/STL_DOC	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Abrechnungsbelege anzeigen
	/ACCGO/STL_NS	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Sonder-Washout
	/ACCGO/STL_NS_PGM	/ACCGO/CAS_STL_NS_GEN_REPORT	 1000		   84		Autogenerierung Sonderabrechnung
	/ACCGO/STL_RC		 0000		   02		Stornogründe pflegen
	/ACCGO/STL_RULES	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Abrechnungsgeschäftsregeln
	/ACCGO/STL_S_AUTO_PA	/ACCGO/CAS_STL_S_AUTO_PARA	 1000		   80		Parall. autom. Gener. der StAbrech.
	/ACCGO/STL_S_PGM	/ACCGO/CAS_STL_S_AUTO_GEN	 1000		   84		Auto. Gener. von Standardabrechnung
	/ACCGO/STL_WC	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Abrechnungs-Work-Center
	/ACCGO/STP_STL_RSN_C		 0000		   02		BegründSchl. für AbrechStopp pflegen
	/ACCGO/SUBPROC		 0000		   02		Teilprozess nach Storno pflegen
	/ACCGO/SYNC_DIST	/ACCGO/APP_ASGT_DIST_DCT_UTIL	 1000		   80		Zuordnungsverteilungen synchronis.
	/ACCGO/THRESH		 0000		   02		Schwellenwert MM/SD/Vorauszahlung
	/ACCGO/TOLRTYP_MAINT		 0000		   02		Toleranzarten pflegen
	/ACCGO/TRP_BR_DIFF	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00
	/ACCGO/TSW_CUS		 0000		   02		TSW-Orte pflegen
	/ACCGO/TSW_VSA	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		QSAA zu TSW-Orten zuordnen
	/ACCGO/T_LN_FILL		 0000		   02		Zentrales Füllen pflegen
	/ACCGO/T_TAX_PAY		 0000		   02		Steuerzahler
	/ACCGO/UISNUMRANGE		 0000		   02		Nummernkreis für LDE bearbeiten
	/ACCGO/UND_VENDOR		 0000		   02		Undefinierten Lieferanten pflegen
	/ACCGO/UPDT_APPDOC	/ACCGO/ACM_UPDT_APPDOC_UTIL	 1000		   80		Hilfsprogramm zur AnwBelegaktualis.
	/ACCGO/UPD_NPE_CANCL	/ACCGO/RUPD_VLOGP_FOR_NPE_CNCL	 0000		   84		VLOGP f. NPE-TC-Storno aktualisieren
